Solution_ID,Text
2,"Centrale froid, Froid, Utilités, "
3,"Centrale froid, Froid, Utilités, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;"
4,"Ajustement production/besoin, Froid, Utilités, "
5,"Régulation, Froid, Utilités, sur la consommation annuelle totale d'électricité"
6,"Condenseur, Froid, Utilités, Investissement élevé, de la consommation électrique du condenseur"
7,"Condenseur, Froid, Utilités, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée."
8,"Centrale froid, Froid, Utilités, de la consommation électrique de la centrale frigorifique"
9,"Gestion et pilotage, Froid, Utilités, "
10,"Evaporateur, Froid, Utilités, "
11,"Chambre froide, Froid, Utilités, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant."
12,"Gestion et pilotage, Froid, Utilités, "
13,"Meuble frigorifique, Froid, Utilités, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires"
14,"Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit"
15,"Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit"
16,"Meuble frigorifique, Froid, Utilités, "
17,"Stockage, Froid, Utilités, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)"
18,"Climatisation, CVC, Bâtiment, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2."
19,"Condenseur, Froid, Utilités, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques."
20,"Climatisation, CVC, Bâtiment, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante"
21,"Maintenance, Froid, Utilités, de la consommation électrique des centrales frigorifiques"
22,"Chambre froide, Froid, Utilités, "
23,"Réseau, Froid, Utilités, Sur réseau existant parfois difficile à mettre en oeuvre (nécessité d'arrêter les installations ou de by-passer le réseau), Réduction des pertes de charge Peu coûteux"
24,"Maintenance, Froid, Utilités, de la consommation électrique des centrales frigorifiques"
25,"Evaporateur, Froid, Utilités, Résistance électrique : Pas adéquat sur les cycles utilisant de l'ammoniac Coûteux en énergie sans possibilité de la récupérer. Dégivrage à air : Application limitée Possible dépôt de goutte d’eau sur la marchandise pouvant entrainer moisissures, de l'énergie consommée par l'installation frigorifique. Dégivrage à la demande : 15% à 20% d’économie par rapport à un dégivrage programmé (30min toute les 8h)., Résistance électrique : Faible encombrement Mise en œuvre simple Faible coût d’installation Injection de gaz chauds : Pas de consommation d’énergie supplémentaire"
26,"Evaporateur, Froid, Utilités, Doit être réfléchie en fonction des besoins et du site environnant., de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C., Meilleure efficacité Réduction des investissements"
27,"Maintenance, Froid, Utilités, Procédures régulière à mettre en place, de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Augmentation de la durée de vie des échangeurs. Augmentation du rendement (COP) du cycle frigorifique"
28,"Condenseur, Froid, Utilités, Variation de la température de l'air ambiant en fonction des saisons, de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C."
29,"Condenseur, Froid, Utilités, Nettoyage parfois difficile dans certaines configurations, de la consommation ponctuelle des compresseurs, Moins de risques de panne Encrassement très largement diminué Diminution des coûts d'écploitation Echange thermique amélioré (la vitesse de ventilation peut être diminuée)"
30,"Condenseur, Froid, Utilités, Augmentation de la durée de vie des ventilateurs des condenseurs à air."
31,"Maintenance, Froid, Utilités, Action périodique à maintenir régulièrement, Dispositif peu couteux, amortissement rapide Evite la corrosion Amélioration du rendement de l'installation Installation simple dans tous types de système Pas de baisse de pression dans les conduites"
32,"Maintenance, Froid, Utilités, de l'énergie frigorifique produite par la centrale froid"
33,"Chambre froide, Froid, Utilités, "
34,"Régulation, Froid, Utilités, Augmentation de température parfois limité par les besoins des procédés., d'économie d'énergie sur la consommation du compresseur par °C supplémentaire, Amélioration du rendement du groupe frigorifique."
35,"Régulation, Froid, Utilités, L'action peut être limité par la technologie des détendeurs installés., de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Amélioration du rendement du cycle frigorifique"
36,"Climatisation, CVC, Bâtiment, Nécessite la modification ou le remplacement des ventilateurs ou l'installation d'un variateur de vitesse Le débit ne doit pas être inférieur à la valeur réglementaire de 30m^3/h/pers Une maintenance plus strict peut être nécessaire pour éviter tout risque sanitaire dû à un air ambiant moins renouvellé, Conduit à un meilleur dimensionnement des ventilateurs et donc une consommation moindre Réduction de l'énergie à fournir pour refroidir l'air avant d'être soufflé dans le local Adaptation du taux d'air neuf à l'occupation réelle du bâtment ou à la saison"
39,"Régulation, Froid, Utilités, Evite la marche à vide des compresseurs Assure une sécurité de manoeuvre"
40,"Evaporateur, Froid, Utilités, de la consommation totale"
41,"Condenseur, Froid, Utilités, "
42,"Régulation, Froid, Utilités, "
43,"Gestion et pilotage, Procédés, Coût initial élevé, qui dépend de la taille du système et de sa complexité. Instrumentation importante., Meilleure fiabilité des équipements Suivi des installations, pilotage à distance Optimisation de la maintenance"
44,"Meuble frigorifique, Froid, Utilités, Faible coût Utilisation simple et sûre"
45,"Récupération de chaleur, Froid, Utilités, Une modification du groupe existant peut être nécessaire, Réduction du réseau vapeur et diminution des pertes associées"
46,"Récupération de chaleur, Froid, Utilités, Une modification du groupe existant peut être nécessaire, de la chaleur perdue est récupérable., Réduction du réseau vapeur et diminution des pertes associées"
47,"Récupération de chaleur, Froid, Utilités, La solution n'est pas applicable à tous les types de compresseurs."
48,"Machines frigorifiques, Utilités, COP < 1 (car prise en compte de l'apport de chaleur au régénérateur), Appareils supplémentaires (absorbeur, générateur et échangeur) Températures au bouilleur au moins de l'ordre de 80 à 85 °C, nécessite d'une source de chaleur (vapeur sur site par exemple), Plus de compresseur Installation de pompe avec un coût plus faible Consommation de pompe inférieure à celle d'un compresseur Fluide dont l'impact sur la couche d'ozone et sur l'effet de serre est nul"
49,"Détendeur, Froid, Utilités, "
50,"Moteur, Moteur, Utilités, Campagne de mesure en période de charge des moteurs Moteurs parfois difficilement accessibles, de la consommation du moteur. Le gain varie selon la taille du moteur. Il est d'environ 1% pour les gros moteurs (qui peuvent fonctionner à rendement élevé pour des charges de 30%) et de 3% pour les moteurs plus petits dont le rendement se dégrade à partir de 75%., Diminution des marches à vide du moteur."
51,"Ajustement production/besoin, Moteur, Utilités, "
