Solution_ID,Text
2,"Installation frigorifique négative de type cascade utilisant du CO2, Centrale froid, Froid, Utilités, "
3,"Centrale négative en mode booster, Centrale froid, Froid, Utilités, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, Ajustement production/besoin, Froid, Utilités, "
5,"Régulation non électronique sur un compresseur, Régulation, Froid, Utilités, sur la consommation annuelle totale d'électricité"
6,"Condenseur frigorifique à haute efficacité, Condenseur, Froid, Utilités, Investissement élevé, de la consommation électrique du condenseur"
7,"Condenseur surélevée pour garantir un bon échange thermique, Condenseur, Froid, Utilités, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée."
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., Centrale froid, Froid, Utilités, de la consommation électrique de la centrale frigorifique"
9,"Zone neutre entre les températures de consignes chaude et froide, Gestion et pilotage, Froid, Utilités, "
10,"Séparation des productions de froid, Evaporateur, Froid, Utilités, "
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, Chambre froide, Froid, Utilités, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant."
12,"Pré-refroidissement du produit, Gestion et pilotage, Froid, Utilités, "
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Meuble frigorifique, Froid, Utilités, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, Meuble frigorifique, Froid, Utilités, "
17,"Stockage thermique, Stockage, Froid, Utilités, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)"
18,"Free cooling par tour à vent, Climatisation, CVC, Bâtiment, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2."
19,"Free chilling d'un réseau d'eau glacée, Condenseur, Froid, Utilités, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques."
20,"Rafraichissement solaire, Climatisation, CVC, Bâtiment, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante"
