Solution_ID,Text
2,"Installation frigorifique négative de type cascade utilisant du CO2, Centrale froid, Froid, Utilités"
3,"Centrale négative en mode booster, Centrale froid, Froid, Utilités"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, Ajustement production/besoin, Froid, Utilités"
5,"Régulation non électronique sur un compresseur, Régulation, Froid, Utilités"
6,"Condenseur frigorifique à haute efficacité, Condenseur, Froid, Utilités"
7,"Condenseur surélevée pour garantir un bon échange thermique, Condenseur, Froid, Utilités"
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., Centrale froid, Froid, Utilités"
9,"Zone neutre entre les températures de consignes chaude et froide, Gestion et pilotage, Froid, Utilités"
10,"Séparation des productions de froid, Evaporateur, Froid, Utilités"
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, Chambre froide, Froid, Utilités"
12,"Pré-refroidissement du produit, Gestion et pilotage, Froid, Utilités"
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Meuble frigorifique, Froid, Utilités"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, Meuble frigorifique, Froid, Utilités"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, Meuble frigorifique, Froid, Utilités"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, Meuble frigorifique, Froid, Utilités"
17,"Stockage thermique, Stockage, Froid, Utilités"
18,"Free cooling par tour à vent, Climatisation, CVC, Bâtiment"
19,"Free chilling d'un réseau d'eau glacée, Condenseur, Froid, Utilités"
20,"Rafraichissement solaire, Climatisation, CVC, Bâtiment"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., Maintenance, Froid, Utilités"
22,"Vérification et remplacement du calorifugeage des chambres froides, Chambre froide, Froid, Utilités"
23,"Diminution des distances de tuyauteries, Réseau, Froid, Utilités"
24,"Programme de maintenance performant, Maintenance, Froid, Utilités"
25,"Optimisation des dégivrages des évaporateurs, Evaporateur, Froid, Utilités"
26,"Ecart de température optimisé à l'évaporateur, Evaporateur, Froid, Utilités"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Maintenance, Froid, Utilités"
28,"Ecart de température optimisé au condenseur, Condenseur, Froid, Utilités"
29,"Nettoyage des condenseurs et autres échangeurs, Condenseur, Froid, Utilités"
30,"Alimentation correcte en air du condenseur, Condenseur, Froid, Utilités"
31,"Purge règulière des incondensables, Maintenance, Froid, Utilités"
32,"Réparation des fuites, tuyauteries, et changement des joints, Maintenance, Froid, Utilités"
33,"Ouverture des portes des zones froides minimisée, Chambre froide, Froid, Utilités"
34,"Augmentation de la température d'évaporation, Régulation, Froid, Utilités"
35,"Diminution de la température de condensation, Régulation, Froid, Utilités"
36,"Diminution du taux d'air neuf en période de climatisation, Climatisation, CVC, Bâtiment"
39,"Pilotage des compresseurs en cascade et compresseurs de puissances différentes, Régulation, Froid, Utilités"
40,"Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs, Evaporateur, Froid, Utilités"
41,"Mise en route graduelle des ventilateurs sur les aérocondenseurs, Condenseur, Froid, Utilités"
42,"Sous refroidissement optimisé, Régulation, Froid, Utilités"
43,"Gestion Technique Centralisée (GTC), Gestion et pilotage, Procédés"
44,"Système de régulation des cordons chauffant d'une porte d'armoire verticale à froid négatif, Meuble frigorifique, Froid, Utilités"
45,"Désurchauffeur pour récupérer la chaleur de condensation sur un cycle frigorifique., Récupération de chaleur, Froid, Utilités"
46,"Récupérateur de chaleur de condensation sur un groupe de production de froid, Récupération de chaleur, Froid, Utilités"
47,"Récupérateur de chaleur sur l'huile des compresseurs, Récupération de chaleur, Froid, Utilités"
48,"Machine frigorifique à absorption, Machines frigorifiques, Utilités"
49,"Remplacement des détendeurs par une turbine, Détendeur, Froid, Utilités"
50,"Moteurs correctement dimensionnés, Moteur, Moteur, Utilités"
51,"Dimensionnement des moteurs pour des charges variables, Ajustement production/besoin, Moteur, Utilités"
54,"Moteur à haut rendement, Moteur, Moteur, Utilités"
55,"Transmissions à haute efficacité, Transmission, Moteur, Utilités"
56,"Contrôle de la qualité de puissance, Régulation, Moteur, Utilités"
57,"Contrôle de la température ambiante, Moteur, Moteur, Utilités"
58,"Remplacement des moteurs plutôt qu'un rebobinage ou une réparation, Maintenance, Moteur, Utilités"
59,"Lubrification correcte des paliers conformément aux spécifications constructeur, Maintenance, Moteur, Utilités"
60,"Entretien et amélioration des transmissions, Transmission, Moteur, Utilités"
