Solution_ID,Text
2,"Centrale froid, Froid, Utilités"
3,"Centrale froid, Froid, Utilités"
4,"Ajustement production/besoin, Froid, Utilités"
5,"Régulation, Froid, Utilités"
6,"Condenseur, Froid, Utilités"
7,"Condenseur, Froid, Utilités"
8,"Centrale froid, Froid, Utilités"
9,"Gestion et pilotage, Froid, Utilités"
10,"Evaporateur, Froid, Utilités"
11,"Chambre froide, Froid, Utilités"
12,"Gestion et pilotage, Froid, Utilités"
13,"Meuble frigorifique, Froid, Utilités"
14,"Meuble frigorifique, Froid, Utilités"
15,"Meuble frigorifique, Froid, Utilités"
16,"Meuble frigorifique, Froid, Utilités"
17,"Stockage, Froid, Utilités"
18,"Climatisation, CVC, Bâtiment"
19,"Condenseur, Froid, Utilités"
20,"Climatisation, CVC, Bâtiment"
21,"Maintenance, Froid, Utilités"
22,"Chambre froide, Froid, Utilités"
23,"Réseau, Froid, Utilités"
24,"Maintenance, Froid, Utilités"
25,"Evaporateur, Froid, Utilités"
26,"Evaporateur, Froid, Utilités"
27,"Maintenance, Froid, Utilités"
28,"Condenseur, Froid, Utilités"
29,"Condenseur, Froid, Utilités"
30,"Condenseur, Froid, Utilités"
31,"Maintenance, Froid, Utilités"
32,"Maintenance, Froid, Utilités"
33,"Chambre froide, Froid, Utilités"
34,"Régulation, Froid, Utilités"
35,"Régulation, Froid, Utilités"
36,"Climatisation, CVC, Bâtiment"
39,"Régulation, Froid, Utilités"
40,"Evaporateur, Froid, Utilités"
41,"Condenseur, Froid, Utilités"
42,"Régulation, Froid, Utilités"
43,"Gestion et pilotage, Procédés"
44,"Meuble frigorifique, Froid, Utilités"
45,"Récupération de chaleur, Froid, Utilités"
46,"Récupération de chaleur, Froid, Utilités"
47,"Récupération de chaleur, Froid, Utilités"
48,"Machines frigorifiques, Utilités"
49,"Détendeur, Froid, Utilités"
50,"Moteur, Moteur, Utilités"
51,"Ajustement production/besoin, Moteur, Utilités"
54,"Moteur, Moteur, Utilités"
55,"Transmission, Moteur, Utilités"
56,"Régulation, Moteur, Utilités"
57,"Moteur, Moteur, Utilités"
58,"Maintenance, Moteur, Utilités"
59,"Maintenance, Moteur, Utilités"
60,"Transmission, Moteur, Utilités"
61,"Maintenance, Moteur, Utilités"
62,"Transmission, Moteur, Utilités"
63,"Régulation, Pompe, Utilités"
64,"Pompe de surpression, Pompe, Utilités"
65,"Régulation, Pompe, Utilités"
66,"Mesure et comptage d’énergie, Management (ISO 50 001)"
67,"Ajustement production/besoin, Pompe, Utilités"
68,"Réseau, Pompe, Utilités"
69,"Réseau, Pompe, Utilités"
70,"Pompe, Pompe, Utilités"
71,"Réseau, Pompe, Utilités"
72,"Maintenance, Pompe, Utilités"
73,"Pompe, Pompe, Utilités"
74,"Pompe, Pompe, Utilités"
75,"Ajustement production/besoin, Pompe, Utilités"
76,"Réseau, Pompe, Utilités"
77,"Réseau, Pompe, Utilités"
78,"Valorisation, Méthanisation / Biogaz, Nouvelles énergies"
79,"Régulation, Ventilation, Utilités"
80,"Gestion et pilotage, Ventilation, Utilités"
81,"Gestion et pilotage, Ventilation, Utilités"
82,"Réseau, Ventilation, Utilités"
83,"Ventilateur, Ventilation, Utilités"
84,"Ventilateur, Ventilation, Utilités"
85,"Ventilateur, Ventilation, Utilités"
86,"Gestion et pilotage, Ventilation, Utilités"
87,"Réseau, Ventilation, Utilités"
88,"Gestion et pilotage, Ventilation, Utilités"
89,"Maintenance, Ventilation, Utilités"
90,"Maintenance, Ventilation, Utilités"
91,"Réseau, Ventilation, Utilités"
92,"Ventilateur, Ventilation, Utilités"
93,"Ajustement production/besoin, Ventilation, Utilités"
94,"Ajustement production/besoin, Ventilation, Utilités"
95,"Récupération de chaleur, Ventilation, Utilités"
97,"Isolation, Enveloppe, Bâtiment"
99,"Etanchéité et infiltrations, Enveloppe, Bâtiment"
100,"Etanchéité et infiltrations, Enveloppe, Bâtiment"
102,"Climatisation, CVC, Bâtiment"
103,"Climatisation, CVC, Bâtiment"
104,"Récupération de chaleur, Vapeur, Utilités"
105,"Chauffage, CVC, Bâtiment"
108,"Chauffage, CVC, Bâtiment"
109,"Climatisation, CVC, Bâtiment"
110,"Climatisation, CVC, Bâtiment"
111,"Condenseur, Froid, Utilités"
113,"Condensateur, Distribution électrique, Utilités"
114,"Filtre, Distribution électrique, Utilités"
115,"Réseau, Distribution électrique, Utilités"
116,"Réseau, Distribution électrique, Utilités"
117,"Réseau, Distribution électrique, Utilités"
118,"Gestion et pilotage, Distribution électrique, Utilités"
120,"Transformateur, Distribution électrique, Utilités"
121,"Transformateur, Distribution électrique, Utilités"
122,"Transformateur, Distribution électrique, Utilités"
123,"Armoire électrique, Distribution électrique, Utilités"
124,"Transformateur, Distribution électrique, Utilités"
125,"Transformateur, Distribution électrique, Utilités"
126,"Ajustement production/besoin, Distribution électrique, Utilités"
127,"Maintenance, Distribution électrique, Utilités"
128,"Armoire électrique, Distribution électrique, Utilités"
129,"Onduleur, Distribution électrique, Utilités"
130,"Gestion et pilotage, Distribution électrique, Utilités"
131,"Maintenance, Distribution électrique, Utilités"
132,"Maintenance, Distribution électrique, Utilités"
133,"Armoire électrique, Distribution électrique, Utilités"
134,"Ajustement production/besoin, Distribution électrique, Utilités"
135,"Transformateur, Distribution électrique, Utilités"
136,"Régulation, Distribution électrique, Utilités"
137,"Transformateur, Distribution électrique, Utilités"
138,"Transformateur, Distribution électrique, Utilités"
139,"Gestion et pilotage, Distribution électrique, Utilités"
140,"Ajustement production/besoin, Distribution électrique, Utilités"
141,"Onduleur, Distribution électrique, Utilités"
142,"Stockage, Distribution électrique, Utilités"
143,"Réseau, Air comprimé, Utilités"
144,"Réseau, Air comprimé, Utilités"
145,"Gestion et pilotage, Air comprimé, Utilités"
146,"Régulation, Air comprimé, Utilités"
147,"Traitement de l'air, Air comprimé, Utilités"
148,"Régulation, Air comprimé, Utilités"
149,"Régulation, Air comprimé, Utilités"
150,"Stockage, Air comprimé, Utilités"
151,"Stockage, Air comprimé, Utilités"
152,"Gestion et pilotage, Air comprimé, Utilités"
153,"Ajustement production/besoin, Air comprimé, Utilités"
154,"Compresseur, Air comprimé, Utilités"
155,"Régulation, Air comprimé, Utilités"
156,"Soufflette, Air comprimé, Utilités"
157,"Soufflette, Air comprimé, Utilités"
158,"Soufflette, Air comprimé, Utilités"
159,"Soufflette, Air comprimé, Utilités"
160,"Réseau, Air comprimé, Utilités"
161,"Maintenance, Air comprimé, Utilités"
162,"Filtre, Air comprimé, Utilités"
163,"Réseau, Air comprimé, Utilités"
164,"Purgeurs et condensats, Air comprimé, Utilités"
165,"Purgeurs et condensats, Air comprimé, Utilités"
167,"Maintenance, Air comprimé, Utilités"
168,"Filtre, Air comprimé, Utilités"
169,"Filtre, Air comprimé, Utilités"
170,"Régulation, Air comprimé, Utilités"
171,"Compresseur, Air comprimé, Utilités"
172,"Traitement de l'air, Air comprimé, Utilités"
174,"Traitement de l'air, Air comprimé, Utilités"
176,"Récupération de chaleur, Air comprimé, Utilités"
178,"Récupération de chaleur, Air comprimé, Utilités"
179,"Réseau, Vapeur, Utilités"
180,"Réseau, Vapeur, Utilités"
181,"Vanne, Vapeur, Utilités"
182,"Réseau, Vapeur, Utilités"
183,"Réseau, Vapeur, Utilités"
184,"Gestion et pilotage, Vapeur, Utilités"
185,"Gestion et pilotage, Vapeur, Utilités"
186,"Condensat, Vapeur, Utilités"
187,"Régulation, Chaudière, Utilités"
188,"Fumées, Chaudière, Utilités"
189,"Régulation, Chaudière, Utilités"
191,"Purgeur, Vapeur, Utilités"
192,"Purgeur, Vapeur, Utilités"
193,"Purgeur, Vapeur, Utilités"
194,"Réseau, Vapeur, Utilités"
196,"Réseau, Vapeur, Utilités"
197,"Condensat, Vapeur, Utilités"
198,"Réseau, Vapeur, Utilités"
199,"Condensat, Vapeur, Utilités"
200,"Echangeur thermique, Vapeur, Utilités"
201,"Maintenance, Chaudière, Utilités"
202,"Gestion et pilotage, Vapeur, Utilités"
203,"Gestion et pilotage, Vapeur, Utilités"
204,"Régulation, Vapeur, Utilités"
205,"Maintenance, Chaudière, Utilités"
206,"Chaudière, Chaudière, Utilités"
207,"Régulation, Chaudière, Utilités"
208,"Traitement de l'eau, Chaudière, Utilités"
