Solution_ID,Text
2,"Installation frigorifique négative de type cascade utilisant du CO2, Centrale froid"
3,"Centrale négative en mode booster, Centrale froid"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, Ajustement production/besoin"
5,"Régulation non électronique sur un compresseur, Régulation"
6,"Condenseur frigorifique à haute efficacité, Condenseur"
7,"Condenseur surélevée pour garantir un bon échange thermique, Condenseur"
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., Centrale froid"
9,"Zone neutre entre les températures de consignes chaude et froide, Gestion et pilotage"
10,"Séparation des productions de froid, Evaporateur"
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, Chambre froide"
12,"Pré-refroidissement du produit, Gestion et pilotage"
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Meuble frigorifique"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, Meuble frigorifique"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, Meuble frigorifique"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, Meuble frigorifique"
17,"Stockage thermique, Stockage"
18,"Free cooling par tour à vent, Climatisation"
19,"Free chilling d'un réseau d'eau glacée, Condenseur"
20,"Rafraichissement solaire, Climatisation"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., Maintenance"
22,"Vérification et remplacement du calorifugeage des chambres froides, Chambre froide"
23,"Diminution des distances de tuyauteries, Réseau"
24,"Programme de maintenance performant, Maintenance"
25,"Optimisation des dégivrages des évaporateurs, Evaporateur"
26,"Ecart de température optimisé à l'évaporateur, Evaporateur"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Maintenance"
28,"Ecart de température optimisé au condenseur, Condenseur"
29,"Nettoyage des condenseurs et autres échangeurs, Condenseur"
30,"Alimentation correcte en air du condenseur, Condenseur"
31,"Purge règulière des incondensables, Maintenance"
32,"Réparation des fuites, tuyauteries, et changement des joints, Maintenance"
33,"Ouverture des portes des zones froides minimisée, Chambre froide"
34,"Augmentation de la température d'évaporation, Régulation"
35,"Diminution de la température de condensation, Régulation"
36,"Diminution du taux d'air neuf en période de climatisation, Climatisation"
39,"Pilotage des compresseurs en cascade et compresseurs de puissances différentes, Régulation"
40,"Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs, Evaporateur"
41,"Mise en route graduelle des ventilateurs sur les aérocondenseurs, Condenseur"
42,"Sous refroidissement optimisé, Régulation"
43,"Gestion Technique Centralisée (GTC), Gestion et pilotage"
44,"Système de régulation des cordons chauffant d'une porte d'armoire verticale à froid négatif, Meuble frigorifique"
45,"Désurchauffeur pour récupérer la chaleur de condensation sur un cycle frigorifique., Récupération de chaleur"
46,"Récupérateur de chaleur de condensation sur un groupe de production de froid, Récupération de chaleur"
47,"Récupérateur de chaleur sur l'huile des compresseurs, Récupération de chaleur"
48,"Machine frigorifique à absorption, Machines frigorifiques"
49,"Remplacement des détendeurs par une turbine, Détendeur"
50,"Moteurs correctement dimensionnés, Moteur"
51,"Dimensionnement des moteurs pour des charges variables, Ajustement production/besoin"
54,"Moteur à haut rendement, Moteur"
55,"Transmissions à haute efficacité, Transmission"
56,"Contrôle de la qualité de puissance, Régulation"
57,"Contrôle de la température ambiante, Moteur"
58,"Remplacement des moteurs plutôt qu'un rebobinage ou une réparation, Maintenance"
59,"Lubrification correcte des paliers conformément aux spécifications constructeur, Maintenance"
60,"Entretien et amélioration des transmissions, Transmission"
61,"Rebobinage de qualité des moteurs, Maintenance"
62,"Ajustement de la tension des courroies et des alignements, Transmission"
63,"Variateurs de vitesse en remplacement de vannes de laminages., Régulation"
64,"Pompe de surpression pour des hautes pressions ponctuelles, Pompe de surpression"
65,"Pompes en parallèle, mise en route en fonction du besoin, Régulation"
66,"Matériel de mesure pour contrôler la perte de charge, et les débits des pompes., Mesure et comptage d’énergie"
67,"Réduction du besoin de pompage non nécessaire, Ajustement production/besoin"
68,"Fermeture des parties du circuit non utilisées, Réseau"
69,"Purges d'air régulières sur le réseau, Réseau"
70,"Identification et remplacement des pompes surdimensionnées, Pompe"
71,"Réparation des fuites, Réseau"
72,"Vérification de l'usure des pompes, et identification des pompes en cavitation., Maintenance"
73,"Usinage du diamètre des roues des pompes centrifuges, Pompe"
74,"Filtre interne de réduction de frottements dans la pompe (sur les impulseurs), Pompe"
75,"Diminution des débits et de la pression de fonctionnement aux minimum requis, Ajustement production/besoin"
76,"Diminution des pertes de charges, Réseau"
77,"Diminution des débits by-pass, Réseau"
78,"Consommation de biogaz, Valorisation"
79,"Variateur de vitesse sur ventilateur centrifuge pour gestion du débit d'air optimisé, Régulation"
80,"Ventilateur avec un régime optimal correspond aux besoins spécifiques de l'installation, Gestion et pilotage"
81,"Fonctionnement du ventilateur d'extraction au fonctionnement du process industriel, Gestion et pilotage"
82,"Diminution des pertes de charges du réseau, Réseau"
83,"Ventilateur avec roue à réaction en remplacement d'un ventilateur avec roue à action, Ventilateur"
84,"Remplacement des courroies trapézoïdales par des transmissions directes, Ventilateur"
85,"Remplacement des courroies trapézoïdales par des courroies plates, Ventilateur"
86,"Fractionnement de l'installation de ventilation générale en plusieurs unités, Gestion et pilotage"
87,"Isolation des gaines lorsque l'air est chaud, Réseau"
88,"Mesure des valeurs clés de l'installation pour repérer rapidement les anomalies, Gestion et pilotage"
89,"Nettoyage et dépoussiérage des conduites et remplacement régulierer des filtres, Maintenance"
90,"Diminution des fuites sur le réseau aéraulique en resserrant les joints, Maintenance"
91,"Equilibrage du réseau aéraulique, Réseau"
92,"Remplacement des ventilateurs surdimensionnés par des moteurs haute efficacité (IE3 par exemple), Ventilateur"
93,"Vérification et diminution des débits d'air si possible, Ajustement production/besoin"
94,"Epurateur pour réduire le taux d'air neuf en hiver, Ajustement production/besoin"
95,"Récupérateur de chaleur air neuf/air extrait, Récupération de chaleur"
97,"Amélioration de l'isolation des bâtiments, Isolation"
99,"Réduction des infiltrations d'air, Etanchéité et infiltrations"
100,"Optimisation de la fermeture automatique des portes logistiques, Etanchéité et infiltrations"
102,"Réduction des apports de chaleur dans les espaces climatisés, Climatisation"
103,"Ne pas chauffer et climatiser en même temps, Climatisation"
104,"Pompe à chaleur haute température pour valoriser la vapeur basse pression, Récupération de chaleur"
105,"Système de chauffage radiant (zones occupées) couplé à une réduction des températures (zones non occupées), Chauffage"
108,"Diminution des températures de consignes de chauffage, Chauffage"
109,"Maintenance régulière des systèmes de climatisation, Climatisation"
110,"Free-cooling pour les espaces réfrigérés, Climatisation"
111,"Free-chilling par un court d'eau à proximité., Condenseur"
113,"Compensation de l'énergie réactive, Condensateur"
114,"Filtres anti-harmoniques proche des sources très polluantes, Filtre"
115,"Circuits séparés pour les systèmes générateurs d'harmoniques et pour les circuits sensibles aux harmoniques, Réseau"
116,"Diamètre double pour les fils neutres près des charges génératrices d'harmoniques, Réseau"
117,"Séparation des circuits alimentant les gros moteurs pour éviter que les autres appareils subissent les chutes de tensions crées lors de leur démarrage, Réseau"
118,"Dimensionnement des câbles correct et vérifié, Gestion et pilotage"
120,"Transformateur haut rendement, Transformateur"
121,"Dimensionnement des transformateurs en adéquation avec l'utilisation, Transformateur"
122,"Remplacement de TGBT vétuste, Transformateur"
123,"Eléments du TGBT faiblement consommateur pour éviter une climatisation du local, Armoire électrique"
124,"Renouvellement d'air du local du transformateur pour son refroidissement, Transformateur"
125,"Transformateurs à refroidissement par convection naturelle, Transformateur"
126,"Placement des équipements pour lesquels la demande en courant est élevée, aussi près que possible de la source d'alimentation, Ajustement production/besoin"
127,"Nettoyage des traversées et les connexions pour limiter les risques de corrosion ou de rouille, Maintenance"
128,"Détection des points chauds des câbles et des armoires, Armoire électrique"
129,"Nouveaux onduleur en remplacement des anciens onduleurs, Onduleur"
130,"Vérification l'équilibrage des phases, Gestion et pilotage"
131,"Vérification du branchement des systèmes monophasés et triphasés. Le monophasé ne doit pas être branché sur du triphasé, Maintenance"
132,"Maintenance annuelle des équipement électrique et du transformateur, Maintenance"
133,"Jeux de barres serrés., Armoire électrique"
134,"Détection des surcharges, Ajustement production/besoin"
135,"Maintenance du transformateur, Transformateur"
136,"Arrêt des équipements quand ils ne sont pas nécessaires, Régulation"
137,"Mainten en ligne les transformateurs fonctionnant à une charge de plus de 40 à 50 % de la puissance nominale, Transformateur"
138,"Diminution de la tension de court circuit du transformateur, Transformateur"
139,"Amélioration du facteur de puissance, Gestion et pilotage"
140,"Décalage des appels de puissance, Ajustement production/besoin"
141,"Effacement des creux de tension, Onduleur"
142,"Stockage permettant de décaler la consommation, Stockage"
143,"Surpresseur et réseau d'air multi pressions pour répondre aux besoins localisés, Réseau"
144,"Vannes d’isolement pour couper l’arrivée d’air comprimé des ateliers non utilisés, Réseau"
145,"Production d'air décentralisée, Gestion et pilotage"
146,"Démarrage des compresseurs en fonction du besoin, Régulation"
147,"Amélioration du refroidissement, du séchage et de la filtration, Traitement de l'air"
148,"Optimisation de la régulation, Régulation"
149,"Système de régulation élaboré, Régulation"
150,"Stockage de l'air comprimé à proximité des utilisations à forte fluctuation, Stockage"
151,"Augmentation de la taille des cuves de stockage, Stockage"
152,"Arrêt des compresseurs quand il n'y a pas de demande d'air, Gestion et pilotage"
153,"Petit compresseur pour la nuit et les week end, Ajustement production/besoin"
154,"Modernisation du compresseur, Compresseur"
155,"Purgeurs automatiques en remplacement de purgeurs manuels, Régulation"
156,"Remplacement des outils pneumatiques par des outils électriques lorsque c'est possible, Soufflette"
157,"Suppression des soufflettes, Soufflette"
158,"Optimisation de la pression des soufflettes, Soufflette"
159,"Soufflantes en remplacement de couteaux d'air, Soufflette"
160,"Campagne de détection des fuites sur un réseau d’air comprimé, Réseau"
161,"Maintenance préventive, Maintenance"
162,"Nettoyage et remplacement plus fréquents des filtres, Filtre"
163,"Réduction des pertes de charge, Réseau"
164,"Vérification des purges de condensats, Purgeurs et condensats"
165,"Purgeurs de condensats sans pertes d'air, Purgeurs et condensats"
167,"Participation du personnel dans la recherche de fuite, Maintenance"
168,"Filtres à faible perte de charge, Filtre"
169,"Placement des filtres en parallèle lors de l'augmentation de la capacité de filtrage, Filtre"
170,"Diminution de la pression le week end, Régulation"
171,"Aspiration des compresseurs là où l'air est le plus frais, Compresseur"
172,"Filtration et séchage au minimum requis, Traitement de l'air"
174,"Ajustement du degré de séchage en fonction de la température extérieure, Traitement de l'air"
176,"Récupération de la chaleur des compresseurs pour production d'eau chaude, Récupération de chaleur"
178,"Récupération d'énergie sur compresseur pour regénérer le sécheur à absorption, Récupération de chaleur"
179,"Optimisation du dimensionnement des tuyauteries, Réseau"
180,"Diminution des longueurs de tuyauterie, Réseau"
181,"Utilisation de turbines à contre pression à la place des soupapes de réduction de pression, Vanne"
182,"Isolation des canalisations vapeur non isolées, Réseau"
183,"Isolation des canalisations vapeur non utilisées, Réseau"
184,"Utilisation de vapeur au minimum nécessaire, Gestion et pilotage"
185,"Compteurs pour les débits de vapeur et les débits de condensats, Gestion et pilotage"
186,"Dépressurisation du condensat, Condensat"
187,"Arrêt des chaudières vapeur lorsqu'elles ne sont pas nécessaires, Régulation"
188,"Installation d'un registre d'isolement des gaz de combustion ( coupe-tirage ) des chaudières vapeur, Fumées"
189,"Minimisation des pertes dues aux cycles courts des chaudières vapeur, Régulation"
