Solution_ID,Text
2,"Installation frigorifique négative de type cascade utilisant du CO2, "
3,"Centrale négative en mode booster, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, "
5,"Régulation non électronique sur un compresseur, sur la consommation annuelle totale d'électricité"
6,"Condenseur frigorifique à haute efficacité, Investissement élevé, de la consommation électrique du condenseur"
7,"Condenseur surélevée pour garantir un bon échange thermique, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée."
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., de la consommation électrique de la centrale frigorifique"
9,"Zone neutre entre les températures de consignes chaude et froide, "
10,"Séparation des productions de froid, "
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant."
12,"Pré-refroidissement du produit, "
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, de la consommation électrique des centrales froid la nuit"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, de la consommation électrique des centrales froid la nuit"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, "
17,"Stockage thermique, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)"
18,"Free cooling par tour à vent, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2."
19,"Free chilling d'un réseau d'eau glacée, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques."
20,"Rafraichissement solaire, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., de la consommation électrique des centrales frigorifiques"
22,"Vérification et remplacement du calorifugeage des chambres froides, "
23,"Diminution des distances de tuyauteries, Sur réseau existant parfois difficile à mettre en oeuvre (nécessité d'arrêter les installations ou de by-passer le réseau), Réduction des pertes de charge Peu coûteux"
24,"Programme de maintenance performant, de la consommation électrique des centrales frigorifiques"
25,"Optimisation des dégivrages des évaporateurs, Résistance électrique : Pas adéquat sur les cycles utilisant de l'ammoniac Coûteux en énergie sans possibilité de la récupérer. Dégivrage à air : Application limitée Possible dépôt de goutte d’eau sur la marchandise pouvant entrainer moisissures, de l'énergie consommée par l'installation frigorifique. Dégivrage à la demande : 15% à 20% d’économie par rapport à un dégivrage programmé (30min toute les 8h)., Résistance électrique : Faible encombrement Mise en œuvre simple Faible coût d’installation Injection de gaz chauds : Pas de consommation d’énergie supplémentaire"
26,"Ecart de température optimisé à l'évaporateur, Doit être réfléchie en fonction des besoins et du site environnant., de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C., Meilleure efficacité Réduction des investissements"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Procédures régulière à mettre en place, de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Augmentation de la durée de vie des échangeurs. Augmentation du rendement (COP) du cycle frigorifique"
28,"Ecart de température optimisé au condenseur, Variation de la température de l'air ambiant en fonction des saisons, de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C."
29,"Nettoyage des condenseurs et autres échangeurs, Nettoyage parfois difficile dans certaines configurations, de la consommation ponctuelle des compresseurs, Moins de risques de panne Encrassement très largement diminué Diminution des coûts d'écploitation Echange thermique amélioré (la vitesse de ventilation peut être diminuée)"
30,"Alimentation correcte en air du condenseur, Augmentation de la durée de vie des ventilateurs des condenseurs à air."
31,"Purge règulière des incondensables, Action périodique à maintenir régulièrement, Dispositif peu couteux, amortissement rapide Evite la corrosion Amélioration du rendement de l'installation Installation simple dans tous types de système Pas de baisse de pression dans les conduites"
32,"Réparation des fuites, tuyauteries, et changement des joints, de l'énergie frigorifique produite par la centrale froid"
33,"Ouverture des portes des zones froides minimisée, "
34,"Augmentation de la température d'évaporation, Augmentation de température parfois limité par les besoins des procédés., d'économie d'énergie sur la consommation du compresseur par °C supplémentaire, Amélioration du rendement du groupe frigorifique."
35,"Diminution de la température de condensation, L'action peut être limité par la technologie des détendeurs installés., de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Amélioration du rendement du cycle frigorifique"
36,"Diminution du taux d'air neuf en période de climatisation, Nécessite la modification ou le remplacement des ventilateurs ou l'installation d'un variateur de vitesse Le débit ne doit pas être inférieur à la valeur réglementaire de 30m^3/h/pers Une maintenance plus strict peut être nécessaire pour éviter tout risque sanitaire dû à un air ambiant moins renouvellé, Conduit à un meilleur dimensionnement des ventilateurs et donc une consommation moindre Réduction de l'énergie à fournir pour refroidir l'air avant d'être soufflé dans le local Adaptation du taux d'air neuf à l'occupation réelle du bâtment ou à la saison"
39,"Pilotage des compresseurs en cascade et compresseurs de puissances différentes, Evite la marche à vide des compresseurs Assure une sécurité de manoeuvre"
40,"Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs, de la consommation totale"
41,"Mise en route graduelle des ventilateurs sur les aérocondenseurs, "
42,"Sous refroidissement optimisé, "
43,"Gestion Technique Centralisée (GTC), Coût initial élevé, qui dépend de la taille du système et de sa complexité. Instrumentation importante., Meilleure fiabilité des équipements Suivi des installations, pilotage à distance Optimisation de la maintenance"
44,"Système de régulation des cordons chauffant d'une porte d'armoire verticale à froid négatif, Faible coût Utilisation simple et sûre"
45,"Désurchauffeur pour récupérer la chaleur de condensation sur un cycle frigorifique., Une modification du groupe existant peut être nécessaire, Réduction du réseau vapeur et diminution des pertes associées"
46,"Récupérateur de chaleur de condensation sur un groupe de production de froid, Une modification du groupe existant peut être nécessaire, de la chaleur perdue est récupérable., Réduction du réseau vapeur et diminution des pertes associées"
47,"Récupérateur de chaleur sur l'huile des compresseurs, La solution n'est pas applicable à tous les types de compresseurs."
48,"Machine frigorifique à absorption, COP < 1 (car prise en compte de l'apport de chaleur au régénérateur), Appareils supplémentaires (absorbeur, générateur et échangeur) Températures au bouilleur au moins de l'ordre de 80 à 85 °C, nécessite d'une source de chaleur (vapeur sur site par exemple), Plus de compresseur Installation de pompe avec un coût plus faible Consommation de pompe inférieure à celle d'un compresseur Fluide dont l'impact sur la couche d'ozone et sur l'effet de serre est nul"
49,"Remplacement des détendeurs par une turbine, "
50,"Moteurs correctement dimensionnés, Campagne de mesure en période de charge des moteurs Moteurs parfois difficilement accessibles, de la consommation du moteur. Le gain varie selon la taille du moteur. Il est d'environ 1% pour les gros moteurs (qui peuvent fonctionner à rendement élevé pour des charges de 30%) et de 3% pour les moteurs plus petits dont le rendement se dégrade à partir de 75%., Diminution des marches à vide du moteur."
51,"Dimensionnement des moteurs pour des charges variables, "
54,"Moteur à haut rendement, de surcoût pour les moteurs d'une puissance supérieure à 20 kW, Sauf changement radical de technologie, les moteurs sont de même taille et ont une augmentation de poids d’environ 15 %., d'augmentation du rendement selon les puissance par rapport à la norme IE1, Anticipation des contraintes légales à venir. Gain sur la durée de vie du moteur."
55,"Transmissions à haute efficacité, Arrêt du moteur lors du changement La solution est peu rentable sur des moteurs usagés mais elle est à considérer lors de leur remplacement, de la consommation du sous système entrainé par le moteur, Optimisation du rendement du système moteur couplé à l'unité entrainée par le moteur."
56,"Contrôle de la qualité de puissance, de la consommation du sous système entrainé par le moteur"
57,"Contrôle de la température ambiante, Certains locaux contenant le moteur sont difficiles à ventiler Mise en place d'un système de ventilation naturelle ou mécanique peut être à prévoir, Augmentation de la durée de vie du moteur. Amélioration du rendement du moteur"
58,"Remplacement des moteurs plutôt qu'un rebobinage ou une réparation, Surcoût à l'investissement non négligeable., de la consommation électrique du moteur, Anticipation sur les contraintes légales à venir"
59,"Lubrification correcte des paliers conformément aux spécifications constructeur, Amélioration du rendement et de la durée de vie du moteur en réduisant les pertes par frottement Protection contre l'oxydation et la corrosion"
60,"Entretien et amélioration des transmissions, de diminution des pertes au niveau de la transmission"
61,"Rebobinage de qualité des moteurs, Perte de rendement du moteur possible, de la consommation électrique du moteur., Investissement limité"
62,"Ajustement de la tension des courroies et des alignements, Si l’entretien des éléments de transmission (arbres, courroies) est négligé, les pertes peuvent aller de 0 à 45%., de la consommation électrique du moteur"
63,"Variateurs de vitesse en remplacement de vannes de laminages., de la consommation ponctuelle de la pompe selon la charge"
64,"Pompe de surpression pour des hautes pressions ponctuelles, de la consommation annuelle de la pompe"
