Solution_ID,Text,Embedding
2,"Centrale froid, Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène., Pour être éligible à CEE, la mise en place doit être effectuée par un professionnel et appliquée dans des locaux de commerce de distribution alimentaire de surface de vente inférieure à 5000 m². Comparé aux autres fluides frigorigènes, le CO2 est un fluide","[ 0.6946731  -0.3490243   0.4374493  ...  0.49487293 -1.6950338
  0.23099203]"
3,"Centrale froid, Lorsque l'installation a deux centrales frigorifiques, à basse et moyenne température, le mode booster consiste à injecter le refoulement des compresseurs de froid ""négatif"" dans l'aspiration des compresseurs du cycle ""de froid positif"". De cette manière, le rendement du cycle de frigorifique basse température (négatif) est grandement amélioré car la condensation à très basse température est égale à la température d'évaporation de la centrale positive. La solution permet aussi de diminuer la quantité de tuyauteries utilisées., La solution est applicable uniquement sur les projets neufs, ou sur les projets de refonte total du système de production de froid. Pour être éligible la production de froid doit avoir deux niveaux de température : Une production de froid positif, dont la température de consigne est environ à 0°C : température d'évaporation coté fluide de -10°C par exemple. Une production de froid négatif, dont la température de consigne est bien inférieur à 0°C : température d'évaporation de -30 °C par exemple. De plus, le besoin de froid positif doit être supérieur au besoin de froid négatif. Ces deux niveaux de température peuvent par exempe être retrouvés dans les secteurs d'activité suivants : Grande et Moyenne Surface de distribution alimentaire (GMS) ; Industrie agroalimentaire ; Chimie et pharmacie, ...","[ 1.9277333  -0.25339752 -0.01336049 ...  0.1305003  -1.376149
  0.47786435]"
4,"Ajustement production/besoin, Lorsqu’ils ne sont pas équipés de variation électronique de vitesse, la plupart des groupes frigorifiques fonctionnent en Tout en Rien selon le besoin de refroidissement. Lorsque la température en amont des compresseurs descend sous la consigne, les compresseurs se mettent en marche à leur charge nominale. Ainsi, lorsque le besoin de refroidissement est faible, l’utilisation des compresseurs est limitée. Cependant, lorsque le besoin est nul, il est important d’arrêter complètement la centrale frigorifique pour supprimer les pertes thermique du réseau. Outre l’arrêt manuel des groupes frigorifiques par les équipes du site, il existe plusieurs solutions pour automatiser l’arrêt d’un équipement. Par exemple, des horloges programmables peuvent être installées, des temporisations permettant un arrêt au bout d’un certain temps après que le besoin ait disparu, sont aussi applicables., Investir dans un échangeur destiné à sous refroidir si la puissance est trop petite. Mettre en place une horloge de programmation hebdomadaire pour couper les compresseurs pendant les périodes d'inoccupation., Plus le réseau de distribution est étendu, plus les pertes sont importantes. Les compresseurs fonctionneront inutilement pour les compenser. Par ailleurs, lorsque le besoin est faible, des surconsommations peuvent venir des temporisations sur les compresseurs. Celles-ci les maintiennent en fonctionnement afin d’éviter des cycles démarrage/arrête trop rapides pouvant endommager ces derniers.","[ 1.8725786  -0.8666625  -0.2181004  ... -0.08706275 -0.61498636
  0.14843877]"
5,"Régulation, Les types de régulations changent selon la technologie du compresseur : - Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre. - Compresseur centrifuge : régulation par l'utilisation d, Il convient d'optimiser l'ensemble du système avant de considérer cette option d'économie d'énergie car la charge, et donc le besoin peut varier avec les précédentes modifications (réseau particulièrement) L'utilisation de systèmes de stockage à glace est","[ 1.0717646  -0.2414902   0.11513443 ... -0.19569433 -1.151165
 -0.32294008]"
6,"Condenseur, Mise en place de condenseur à haute efficacité sur une installation frigorifique neuve ou existante. La certification EUROVENT est par exemple garant de la qualité du condenseur., Les condenseurs évaporatifs sont plus efficaces car ils utilisent la chaleur latente pour évacuer la chaleur. La plupart des systèmes réfrigérants utilisent des condenseurs refroidis à l’air pour l’évacuation de la chaleur. Les condenseurs à évaporation utilisent un filtre humidifié pour refroidir l’air ambiant lors de son entrée dans le condenseur, accroissant ainsi la capacité d’évacuation de chaleur., Un condenseur à haute efficacité énergétique est un échangeur présentant un faible écart de température ΔT. Le ΔT l’écart de température entre le fluide frigorigène à la pression de condensation et le médium de refroidissement (eau ou air) en entrée du condenseur. Abaisser le ΔT permet d’abaisser la consommation du groupe frigorifique. Efficacité de la production frigorifique : Le COP (coefficient de performance d'une machine) correspond au rapport entre la quantité de chaleur récupérée par le condenseur et la quantité d'énergie électrique totale absorbée par l'installation en grande partie du au compresseur mais aussi aux équipements supplémentaires (ventilateurs, pompes de circulation d'eau, ...). Des données constructeurs montrent des valeurs de COP entre de 2,5 à 5, soit quelque peu supérieures aux moyennes de machines utilisant des condenseurs ""classiques"".","[ 2.592415   -1.1234157   1.5692754  ... -0.29719108 -1.2271142
  0.20453824]"
7,"Condenseur, Lorsque les condenseurs à air sont placés sur le toit, les échanges de chaleur peuvent ne pas être optimums. Surélever ces condenseurs d'un mètre permet d'optimiser les tranferts de chaleur car l'air proche du toit est généralement plus chaud en été. Les condenseurs doivent être placés où ils pourront correctement évacuer la chaleur et, de préférence, là où il fait le moins chaud., La solution s'applique aux condenseurs à air placés sur des toitures métalliques. Ces condenseurs se retrouvent particulièrement dans le secteur des Grandes et Moyennes Surfaces (GMS) car, par manque de place, le toit est généralement choisi pour l'emplacement des condenseurs., L'air échangé au niveau des condenseurs à air doit être le plus frais possible car selon la qualité du condenseur, la température de condensation du fluide frigorigène est égale à la température de l'air + 10°C. Or, le rendement du système frigorifique est optimum si la température de condensation est faible. Les toits non isolés en structure métallique sont chauffés directement par le rayonnement solaire. Leur température de surface s'éleve rapidement selon l'ensoleillement. Si les condenseurs à air sont proches du toit, l'air provenant du dessous les condenseurs, destiné à refroidir le fluide frigorigène, est réchauffé par la chaleur du toit. Si le condenseur est élevé, ce phénomène de réchauffement d'air est évité. Il est important de vérifier aussi que le condenseur à air ne reprend pas l'air rejeté car, l'air étant chaud, le rendement du système frigorifique serait diminué.","[ 2.2848155  -0.7903796   0.8946544  ... -0.68722034 -1.2624376
 -0.33399522]"
8,"Centrale froid, Remplacer un compresseur surdimensionné par un compresseur plus performant avec une puissance plus adaptée au vrai besoin associé. Eventuellement avec un système de stockage.","[ 2.6504087   0.10896154 -0.5152697  ... -0.33994675 -0.04411769
 -0.50523096]"
9,"Gestion et pilotage, Changer les températures de consignes de chauffage/climatisation, Evite une destruction de froid. Possible quand on a conditionnement du produit à des températures spécifiques.","[ 0.67501897 -1.1148187   0.29134107 ... -0.45051023 -0.5751802
 -0.4346151 ]"
10,"Evaporateur, Séparer les production de froid, La séparation des productions de froid permet de diminuer les distances entre production et utilisation. Elle permet aussi de séparer les températures de production de froid, et donc de créer du froid pour des besoins différents.","[ 3.8275094  -0.390332    0.02633955 ... -0.01433829 -0.9919904
 -0.14631706]"
11,"Chambre froide, Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. Diminution du temps de présence humaine dans la zone., Un être humain génère une puissance calorifique de 80W au repos. Les contacts de porte permettent de couper l'éclairage lors de la fermeture des portes.","[ 0.95692295 -0.72420603 -0.130033   ...  0.53244    -1.4351413
  0.56652415]"
12,"Gestion et pilotage, Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide, Coût dix fois inférieur comparé au refroidissement par groupe froid","[ 2.843277   -1.0388978  -0.53138727 ... -0.29939598 -1.8631725
  0.68113166]"
