Solution_ID,Text,Embedding
2,"Installation frigorifique négative de type cascade utilisant du CO2, ",[ 1.3456255 -1.7263684 -0.0093297 ...  1.0921328 -1.6151986  1.3238783]
3,"Centrale négative en mode booster, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;","[ 1.7351055   0.3878842   0.96031386 ... -0.23797326 -0.3989979
 -0.2906996 ]"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, ","[ 2.525023   -1.1308017  -1.0281187  ...  0.40680593 -1.3901582
  0.17217045]"
5,"Régulation non électronique sur un compresseur, sur la consommation annuelle totale d'électricité","[ 2.0308743  -0.17260954  0.5316787  ...  0.22462012 -0.02562652
 -1.3140241 ]"
6,"Condenseur frigorifique à haute efficacité, Investissement élevé, de la consommation électrique du condenseur","[ 2.3109574  -0.21506451  1.3340908  ...  0.6375312  -0.21505238
  1.2413592 ]"
7,"Condenseur surélevée pour garantir un bon échange thermique, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée.","[ 3.0300856  -0.21578284  2.4798334  ...  0.5915699  -0.03482207
 -0.50782996]"
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., de la consommation électrique de la centrale frigorifique","[ 1.8436254   1.2256855   0.47669658 ...  0.7576935  -0.15784568
 -0.38040665]"
9,"Zone neutre entre les températures de consignes chaude et froide, ","[-0.44441694 -0.8017062  -1.5140015  ...  0.2156811  -2.145771
  0.07399859]"
10,"Séparation des productions de froid, ","[ 2.9856868   0.28138307  0.3691885  ...  0.88063985 -2.3075895
 -0.40299737]"
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.","[ 0.8675064  -1.2339753  -0.10457627 ... -0.26732993 -1.8562521
  1.0087419 ]"
12,"Pré-refroidissement du produit, ","[ 2.4819615  -0.52623653  0.03376728 ... -0.50466675 -2.2455218
  1.1484622 ]"
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires","[ 1.5112079  -0.12091637  0.05734464 ...  0.40837538 -1.5967268
  0.2991264 ]"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, de la consommation électrique des centrales froid la nuit","[ 1.5245072  -0.2987756  -0.12158471 ... -0.43828654 -2.163867
  0.12011725]"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, de la consommation électrique des centrales froid la nuit","[ 1.0127193  -0.12704025 -0.6277505  ...  0.34016657 -1.6085836
  0.65353096]"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, ","[ 1.7545614   1.4390833   0.43086904 ...  0.7544835  -2.8119597
  0.619446  ]"
17,"Stockage thermique, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)","[ 2.3410807  -0.8111632  -0.5124831  ... -0.00843673 -0.7629253
  0.9135438 ]"
18,"Free cooling par tour à vent, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2.","[ 1.2472392  -0.32428926  1.007222   ...  0.2974002  -0.88974375
 -0.18240431]"
19,"Free chilling d'un réseau d'eau glacée, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques.","[ 1.9920466  -1.7293985  -0.28888237 ... -0.32234737 -1.2815313
  0.47308767]"
20,"Rafraichissement solaire, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante","[ 1.0947092  -0.6866519   0.32483652 ...  0.69302547  0.24048653
  0.47950387]"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., de la consommation électrique des centrales frigorifiques","[ 2.0233545  -0.18564719  0.10860322 ...  1.0590729  -1.4763069
  0.9054976 ]"
22,"Vérification et remplacement du calorifugeage des chambres froides, ","[ 0.686096    1.0029975   0.74015313 ...  1.050449   -1.4789401
 -0.2904733 ]"
23,"Diminution des distances de tuyauteries, Sur réseau existant parfois difficile à mettre en oeuvre (nécessité d'arrêter les installations ou de by-passer le réseau), Réduction des pertes de charge Peu coûteux",[ 1.348145  -0.4774974  0.5121329 ...  0.6704982 -1.0617995  0.1250805]
24,"Programme de maintenance performant, de la consommation électrique des centrales frigorifiques","[ 1.876499   -0.64156663  0.15643047 ... -0.01718065 -1.0857383
  0.6850698 ]"
25,"Optimisation des dégivrages des évaporateurs, Résistance électrique : Pas adéquat sur les cycles utilisant de l'ammoniac Coûteux en énergie sans possibilité de la récupérer. Dégivrage à air : Application limitée Possible dépôt de goutte d’eau sur la marchandise pouvant entrainer moisissures, de l'énergie consommée par l'installation frigorifique. Dégivrage à la demande : 15% à 20% d’économie par rapport à un dégivrage programmé (30min toute les 8h)., Résistance électrique : Faible encombrement Mise en œuvre simple Faible coût d’installation Injection de gaz chauds : Pas de consommation d’énergie supplémentaire","[ 1.9806578  -0.15163483  0.4816078  ...  0.36889124 -0.7200014
 -0.6153751 ]"
26,"Ecart de température optimisé à l'évaporateur, Doit être réfléchie en fonction des besoins et du site environnant., de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C., Meilleure efficacité Réduction des investissements","[ 0.28559202 -0.74044645  1.2439631  ... -0.05647888  0.08007907
  0.23881614]"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Procédures régulière à mettre en place, de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Augmentation de la durée de vie des échangeurs. Augmentation du rendement (COP) du cycle frigorifique","[ 2.751087   -0.6638348   1.4273963  ... -0.2518231  -0.25671133
  0.15467784]"
