Solution_ID,Text,Embedding
2,"Centrale froid, Froid, Utilités","[ 1.3188965  -2.7716691  -2.2511408  ...  1.1915506  -1.2445142
  0.46585473]"
3,"Centrale froid, Froid, Utilités","[ 1.3188965  -2.7716691  -2.2511408  ...  1.1915506  -1.2445142
  0.46585473]"
4,"Ajustement production/besoin, Froid, Utilités","[ 1.267268   -1.3400134  -0.526835   ...  0.88771504  0.42612776
  0.6428408 ]"
5,"Régulation, Froid, Utilités","[ 0.85549057 -2.7664897  -1.1978719  ...  0.7568695  -0.05522172
 -0.16690946]"
6,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
7,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
8,"Centrale froid, Froid, Utilités","[ 1.3188965  -2.7716691  -2.2511408  ...  1.1915506  -1.2445142
  0.46585473]"
9,"Gestion et pilotage, Froid, Utilités",[ 2.2925186 -1.8648903 -1.423043  ...  0.5328865 -0.6532103 -0.4689018]
10,"Evaporateur, Froid, Utilités","[ 2.5220037e+00 -2.3141677e+00 -7.1276474e-01 ...  7.0457457e-04
 -8.8583231e-01 -5.2399457e-01]"
11,"Chambre froide, Froid, Utilités","[ 0.15520191 -2.226691   -2.1658611  ...  1.649857   -1.331116
  0.95743304]"
12,"Gestion et pilotage, Froid, Utilités",[ 2.2925186 -1.8648903 -1.423043  ...  0.5328865 -0.6532103 -0.4689018]
13,"Meuble frigorifique, Froid, Utilités",[ 2.0046167 -1.6218667 -1.7239276 ...  0.9469386 -1.5892645 -0.1085102]
14,"Meuble frigorifique, Froid, Utilités",[ 2.0046167 -1.6218667 -1.7239276 ...  0.9469386 -1.5892645 -0.1085102]
15,"Meuble frigorifique, Froid, Utilités",[ 2.0046167 -1.6218667 -1.7239276 ...  0.9469386 -1.5892645 -0.1085102]
16,"Meuble frigorifique, Froid, Utilités",[ 2.0046167 -1.6218667 -1.7239276 ...  0.9469386 -1.5892645 -0.1085102]
17,"Stockage, Froid, Utilités","[ 2.3748162  -1.3258947  -2.3194313  ...  0.7190679  -0.7145748
  0.35214686]"
18,"Climatisation, CVC, Bâtiment","[-0.02693713 -1.6528565   1.1933068  ... -0.22795978 -1.893377
 -0.90602255]"
19,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
20,"Climatisation, CVC, Bâtiment","[-0.02693713 -1.6528565   1.1933068  ... -0.22795978 -1.893377
 -0.90602255]"
21,"Maintenance, Froid, Utilités","[ 0.6772294  -1.0586752  -1.9504104  ...  0.45034218  0.22465605
  1.3792629 ]"
22,"Chambre froide, Froid, Utilités","[ 0.15520191 -2.226691   -2.1658611  ...  1.649857   -1.331116
  0.95743304]"
23,"Réseau, Froid, Utilités","[ 1.3411422  -2.2055519  -0.83858806 ...  1.9078462  -1.1425377
  0.67339504]"
24,"Maintenance, Froid, Utilités","[ 0.6772294  -1.0586752  -1.9504104  ...  0.45034218  0.22465605
  1.3792629 ]"
25,"Evaporateur, Froid, Utilités","[ 2.5220037e+00 -2.3141677e+00 -7.1276474e-01 ...  7.0457457e-04
 -8.8583231e-01 -5.2399457e-01]"
26,"Evaporateur, Froid, Utilités","[ 2.5220037e+00 -2.3141677e+00 -7.1276474e-01 ...  7.0457457e-04
 -8.8583231e-01 -5.2399457e-01]"
27,"Maintenance, Froid, Utilités","[ 0.6772294  -1.0586752  -1.9504104  ...  0.45034218  0.22465605
  1.3792629 ]"
28,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
29,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
30,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
31,"Maintenance, Froid, Utilités","[ 0.6772294  -1.0586752  -1.9504104  ...  0.45034218  0.22465605
  1.3792629 ]"
32,"Maintenance, Froid, Utilités","[ 0.6772294  -1.0586752  -1.9504104  ...  0.45034218  0.22465605
  1.3792629 ]"
33,"Chambre froide, Froid, Utilités","[ 0.15520191 -2.226691   -2.1658611  ...  1.649857   -1.331116
  0.95743304]"
34,"Régulation, Froid, Utilités","[ 0.85549057 -2.7664897  -1.1978719  ...  0.7568695  -0.05522172
 -0.16690946]"
35,"Régulation, Froid, Utilités","[ 0.85549057 -2.7664897  -1.1978719  ...  0.7568695  -0.05522172
 -0.16690946]"
36,"Climatisation, CVC, Bâtiment","[-0.02693713 -1.6528565   1.1933068  ... -0.22795978 -1.893377
 -0.90602255]"
39,"Régulation, Froid, Utilités","[ 0.85549057 -2.7664897  -1.1978719  ...  0.7568695  -0.05522172
 -0.16690946]"
40,"Evaporateur, Froid, Utilités","[ 2.5220037e+00 -2.3141677e+00 -7.1276474e-01 ...  7.0457457e-04
 -8.8583231e-01 -5.2399457e-01]"
41,"Condenseur, Froid, Utilités","[ 2.4375234  -2.2842045  -1.0155052  ...  1.2855166  -0.94189835
  0.8816128 ]"
42,"Régulation, Froid, Utilités","[ 0.85549057 -2.7664897  -1.1978719  ...  0.7568695  -0.05522172
 -0.16690946]"
43,"Gestion et pilotage, Procédés","[ 3.1201296  -1.3953427  -0.06214821 ...  0.32266974  0.8929208
  0.6881205 ]"
44,"Meuble frigorifique, Froid, Utilités",[ 2.0046167 -1.6218667 -1.7239276 ...  0.9469386 -1.5892645 -0.1085102]
45,"Récupération de chaleur, Froid, Utilités","[ 2.463197   -1.3157831   0.33294788 ...  2.0782466  -0.4544461
  0.4123527 ]"
46,"Récupération de chaleur, Froid, Utilités","[ 2.463197   -1.3157831   0.33294788 ...  2.0782466  -0.4544461
  0.4123527 ]"
