Solution_ID,Text,Embedding
2,Installation frigorifique négative de type cascade utilisant du CO2,"[ 1.5023016e+00 -1.5227530e+00  3.3557415e-04 ...  1.0464668e+00
 -1.6867983e+00  1.3072084e+00]"
3,Centrale négative en mode booster,"[-0.24948709 -1.5293934   0.34317568 ... -0.67833024 -1.072757
  0.40767643]"
4,Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul,"[ 2.4993637  -1.0729293  -0.864174   ...  0.26135886 -1.2698514
 -0.09086634]"
5,Régulation non électronique sur un compresseur,"[ 1.29824    -0.17105182 -0.2872418  ... -0.42836562 -0.8375244
 -2.593191  ]"
6,Condenseur frigorifique à haute efficacité,"[ 3.4461792  -0.29790065  0.33687234 ...  0.13699861 -1.3092755
  0.42571118]"
7,Condenseur surélevée pour garantir un bon échange thermique,"[ 3.3570292  -1.4994164   2.9627383  ... -0.917817   -0.6029926
 -0.43910584]"
8,Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire.,"[ 1.6341511   1.4947467   0.3592479  ...  0.7997112   0.33834302
 -1.3134522 ]"
9,Zone neutre entre les températures de consignes chaude et froide,"[-0.21316217 -0.708379   -1.5536821  ...  0.14043574 -2.2300103
  0.027279  ]"
10,Séparation des productions de froid,"[ 3.2077327   0.6880607   0.6392028  ...  1.0196135  -1.9811141
 -0.76479924]"
11,Diminution des entrées de chaleur dans les zones d'utilisation du froid,"[ 1.0178409  -0.8239634   0.02328502 ... -0.8803689  -1.255909
 -0.4826841 ]"
12,Pré-refroidissement du produit,"[ 2.380087   -0.30220354  0.25927174 ... -0.64943016 -2.5711858
  0.86940634]"
13,Meuble frigorifique de type vertical avec uniquement éclairage en fronton,"[ 1.5919892  -0.34531108 -0.9080087  ...  0.05761406 -2.938074
 -0.1626178 ]"
14,Rideaux de nuit sur meubles frigorifiques de type vertical à température positive,"[ 1.2324185  -0.03267438 -0.08002508 ... -0.41060197 -3.0392385
 -0.24892096]"
