Solution_ID,Text,Embedding
2,"Installation frigorifique négative de type cascade utilisant du CO2, Centrale froid, ","[ 1.4983704  -1.7790843   0.46221507 ...  0.883868   -1.6937699
  1.3109916 ]"
3,"Centrale négative en mode booster, Centrale froid, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;","[ 1.6380664  -0.10565294  0.90836775 ...  0.04995588 -0.4738199
  0.21092127]"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, Ajustement production/besoin, ","[ 2.6030579  -1.7150419  -0.5521589  ...  0.32314143 -0.49417904
  0.70494443]"
5,"Régulation non électronique sur un compresseur, Régulation, sur la consommation annuelle totale d'électricité","[ 1.766375   -0.43226585  0.443931   ... -0.1516869   0.12931433
 -0.90266263]"
6,"Condenseur frigorifique à haute efficacité, Condenseur, Investissement élevé, de la consommation électrique du condenseur","[ 2.26356    -0.57640064  1.3847452  ...  0.5220297  -0.40284616
  1.319044  ]"
7,"Condenseur surélevée pour garantir un bon échange thermique, Condenseur, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée.","[ 3.144488   -0.47285903  2.5075943  ...  0.5970977  -0.1141145
 -0.3109234 ]"
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., Centrale froid, de la consommation électrique de la centrale frigorifique","[ 1.9540837   0.9757026   0.07262421 ...  0.4015983  -0.4656301
 -0.3633786 ]"
9,"Zone neutre entre les températures de consignes chaude et froide, Gestion et pilotage, ","[-0.15378676 -0.7805526  -0.7191979  ...  0.19781165 -1.4583122
 -0.24408937]"
10,"Séparation des productions de froid, Evaporateur, ","[ 2.8644378  -0.7366597   1.5730247  ...  0.17529912 -1.9062681
 -0.40133128]"
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, Chambre froide, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.","[ 0.69235414 -1.3555427  -0.21503814 ... -0.3843755  -1.7684214
  0.8777139 ]"
12,"Pré-refroidissement du produit, Gestion et pilotage, ","[ 2.6009135  -0.71458906  0.8623689  ... -0.62116116 -1.664543
  0.37255156]"
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Meuble frigorifique, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires","[ 1.6292111  -0.0400239   0.13558166 ...  0.40488297 -1.9079283
  0.3142281 ]"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, Meuble frigorifique, de la consommation électrique des centrales froid la nuit","[ 1.6709658  -0.3536191  -0.02279219 ... -0.15468301 -2.5600057
  0.18120982]"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, Meuble frigorifique, de la consommation électrique des centrales froid la nuit","[ 1.176877   -0.22694105 -0.3127129  ...  0.54142153 -1.8568223
  0.6089566 ]"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, Meuble frigorifique, ","[ 2.0961175   1.009781    0.57300526 ...  0.8843311  -2.894738
  0.4132884 ]"
17,"Stockage thermique, Stockage, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)","[ 2.5908482  -0.81737626 -0.747883   ...  0.13444212 -0.7018892
  0.84460706]"
18,"Free cooling par tour à vent, Climatisation, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2.","[ 1.1818501  -0.50451267  0.9255794  ...  0.3942313  -0.84647846
 -0.31481966]"
19,"Free chilling d'un réseau d'eau glacée, Condenseur, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques.","[ 2.0718138  -1.6900594   0.00810483 ... -0.01236737 -1.1910666
  0.68261147]"
20,"Rafraichissement solaire, Climatisation, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante","[ 1.1202817  -0.8150355   0.3603499  ...  0.6632398   0.05389653
  0.42639008]"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., Maintenance, de la consommation électrique des centrales frigorifiques","[ 2.2256606   0.02127699  0.06977769 ...  0.93677443 -1.1724005
  1.178504  ]"
22,"Vérification et remplacement du calorifugeage des chambres froides, Chambre froide, ","[ 0.14097892  0.71818525  0.72516894 ...  0.9513418  -1.7871901
  0.17253523]"
23,"Diminution des distances de tuyauteries, Réseau, Sur réseau existant parfois difficile à mettre en oeuvre (nécessité d'arrêter les installations ou de by-passer le réseau), Réduction des pertes de charge Peu coûteux","[ 1.3848854  -0.42352453  0.70214945 ...  0.6092796  -1.141245
  0.03308477]"
24,"Programme de maintenance performant, Maintenance, de la consommation électrique des centrales frigorifiques","[ 1.6201378  -0.37571517  0.4902544  ...  0.34379053 -0.44022417
  0.7662029 ]"
25,"Optimisation des dégivrages des évaporateurs, Evaporateur, Résistance électrique : Pas adéquat sur les cycles utilisant de l'ammoniac Coûteux en énergie sans possibilité de la récupérer. Dégivrage à air : Application limitée Possible dépôt de goutte d’eau sur la marchandise pouvant entrainer moisissures, de l'énergie consommée par l'installation frigorifique. Dégivrage à la demande : 15% à 20% d’économie par rapport à un dégivrage programmé (30min toute les 8h)., Résistance électrique : Faible encombrement Mise en œuvre simple Faible coût d’installation Injection de gaz chauds : Pas de consommation d’énergie supplémentaire","[ 1.9961249  -0.19765116  0.5437419  ...  0.36291406 -0.7347548
 -0.6677298 ]"
26,"Ecart de température optimisé à l'évaporateur, Evaporateur, Doit être réfléchie en fonction des besoins et du site environnant., de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C., Meilleure efficacité Réduction des investissements","[ 0.44005144 -0.83730996  1.4157957  ...  0.09147636 -0.05130256
  0.04225133]"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Maintenance, Procédures régulière à mettre en place, de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Augmentation de la durée de vie des échangeurs. Augmentation du rendement (COP) du cycle frigorifique","[ 2.6955125  -0.6153054   1.3351402  ... -0.20909451 -0.26478857
  0.24381708]"
28,"Ecart de température optimisé au condenseur, Condenseur, Variation de la température de l'air ambiant en fonction des saisons, de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C.","[ 0.7246673  -0.7723605   1.8474082  ... -0.30253643 -0.78806585
 -0.46220586]"
29,"Nettoyage des condenseurs et autres échangeurs, Condenseur, Nettoyage parfois difficile dans certaines configurations, de la consommation ponctuelle des compresseurs, Moins de risques de panne Encrassement très largement diminué Diminution des coûts d'écploitation Echange thermique amélioré (la vitesse de ventilation peut être diminuée)","[ 2.1776214  -0.86722535  1.441182   ...  0.2301334  -0.5846852
 -0.5692228 ]"
30,"Alimentation correcte en air du condenseur, Condenseur, Augmentation de la durée de vie des ventilateurs des condenseurs à air.","[ 2.4200315  -0.7999105   1.5218409  ...  0.36914667 -0.3882386
  0.21062626]"
31,"Purge règulière des incondensables, Maintenance, Action périodique à maintenir régulièrement, Dispositif peu couteux, amortissement rapide Evite la corrosion Amélioration du rendement de l'installation Installation simple dans tous types de système Pas de baisse de pression dans les conduites","[ 1.9998453  -0.1994911   0.54955006 ...  1.3174518  -0.32813928
  0.25528538]"
32,"Réparation des fuites, tuyauteries, et changement des joints, Maintenance, de l'énergie frigorifique produite par la centrale froid","[ 3.052342    0.07925585  0.4613843  ...  1.1023629  -1.2114474
  0.40357956]"
33,"Ouverture des portes des zones froides minimisée, Chambre froide, ","[-1.1730572  -1.1090726  -0.3900628  ...  0.09523039 -2.4788501
 -0.8940815 ]"
34,"Augmentation de la température d'évaporation, Régulation, Augmentation de température parfois limité par les besoins des procédés., d'économie d'énergie sur la consommation du compresseur par °C supplémentaire, Amélioration du rendement du groupe frigorifique.","[ 2.1211884  -1.0028427   0.82208824 ... -0.22196318 -0.06673422
  0.45494717]"
35,"Diminution de la température de condensation, Régulation, L'action peut être limité par la technologie des détendeurs installés., de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Amélioration du rendement du cycle frigorifique","[ 1.835124   -0.5568999   0.8347048  ... -1.1236198  -0.50889456
 -0.20177063]"
36,"Diminution du taux d'air neuf en période de climatisation, Climatisation, Nécessite la modification ou le remplacement des ventilateurs ou l'installation d'un variateur de vitesse Le débit ne doit pas être inférieur à la valeur réglementaire de 30m^3/h/pers Une maintenance plus strict peut être nécessaire pour éviter tout risque sanitaire dû à un air ambiant moins renouvellé, Conduit à un meilleur dimensionnement des ventilateurs et donc une consommation moindre Réduction de l'énergie à fournir pour refroidir l'air avant d'être soufflé dans le local Adaptation du taux d'air neuf à l'occupation réelle du bâtment ou à la saison","[ 0.6571756  -0.9904193   0.13600713 ...  0.13944098 -0.7476879
 -0.17228127]"
39,"Pilotage des compresseurs en cascade et compresseurs de puissances différentes, Régulation, Evite la marche à vide des compresseurs Assure une sécurité de manoeuvre","[ 2.2280288  -0.38716078 -0.45780367 ... -0.4231712  -0.05981345
 -0.4003112 ]"
40,"Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs, Evaporateur, de la consommation totale","[ 2.9146311  -0.78164154  1.2198049  ... -0.44620305 -0.7005511
 -0.5625491 ]"
41,"Mise en route graduelle des ventilateurs sur les aérocondenseurs, Condenseur, ","[ 1.9487385  -1.1230597   1.4198382  ...  0.63669854 -0.2196959
  0.60175365]"
42,"Sous refroidissement optimisé, Régulation, ","[ 2.0842829  -1.6467415   1.7731396  ... -0.6994524  -0.43936062
 -1.107343  ]"
43,"Gestion Technique Centralisée (GTC), Gestion et pilotage, Coût initial élevé, qui dépend de la taille du système et de sa complexité. Instrumentation importante., Meilleure fiabilité des équipements Suivi des installations, pilotage à distance Optimisation de la maintenance","[ 1.7106383   0.88237447  0.55063516 ... -0.01739244 -0.52473176
 -0.77748924]"
44,"Système de régulation des cordons chauffant d'une porte d'armoire verticale à froid négatif, Meuble frigorifique, Faible coût Utilisation simple et sûre","[ 1.2592832  -0.42353272 -0.29648644 ...  0.92958546 -1.2264186
 -0.17500187]"
45,"Désurchauffeur pour récupérer la chaleur de condensation sur un cycle frigorifique., Récupération de chaleur, Une modification du groupe existant peut être nécessaire, Réduction du réseau vapeur et diminution des pertes associées","[ 3.151839   -0.27236107  1.7946118  ...  0.7718613  -1.0017147
  0.06104894]"
46,"Récupérateur de chaleur de condensation sur un groupe de production de froid, Récupération de chaleur, Une modification du groupe existant peut être nécessaire, de la chaleur perdue est récupérable., Réduction du réseau vapeur et diminution des pertes associées","[ 3.9084     -0.61160725  2.3679838  ...  0.9583459  -1.0855293
  0.12605265]"
47,"Récupérateur de chaleur sur l'huile des compresseurs, Récupération de chaleur, La solution n'est pas applicable à tous les types de compresseurs.","[ 3.2755032  -0.87133485  0.7692718  ...  1.2417889  -0.3389777
 -1.1088439 ]"
48,"Machine frigorifique à absorption, Machines frigorifiques, COP < 1 (car prise en compte de l'apport de chaleur au régénérateur), Appareils supplémentaires (absorbeur, générateur et échangeur) Températures au bouilleur au moins de l'ordre de 80 à 85 °C, nécessite d'une source de chaleur (vapeur sur site par exemple), Plus de compresseur Installation de pompe avec un coût plus faible Consommation de pompe inférieure à celle d'un compresseur Fluide dont l'impact sur la couche d'ozone et sur l'effet de serre est nul","[ 2.0660923  -1.0284678   0.8589806  ...  0.11358447 -0.781144
  0.10431606]"
49,"Remplacement des détendeurs par une turbine, Détendeur, ","[ 1.1996744   1.3175604   0.6155726  ...  0.9130278   0.13890317
 -0.5455193 ]"
50,"Moteurs correctement dimensionnés, Moteur, Campagne de mesure en période de charge des moteurs Moteurs parfois difficilement accessibles, de la consommation du moteur. Le gain varie selon la taille du moteur. Il est d'environ 1% pour les gros moteurs (qui peuvent fonctionner à rendement élevé pour des charges de 30%) et de 3% pour les moteurs plus petits dont le rendement se dégrade à partir de 75%., Diminution des marches à vide du moteur.","[ 1.8438754   0.4622389   0.37411824 ...  0.9920443  -0.2533406
  0.09302315]"
51,"Dimensionnement des moteurs pour des charges variables, Ajustement production/besoin, ","[ 1.4036819e+00 -3.9752042e-01  1.8019426e-05 ...  1.5008287e-02
  1.3133938e+00  1.0600785e+00]"
54,"Moteur à haut rendement, Moteur, de surcoût pour les moteurs d'une puissance supérieure à 20 kW, Sauf changement radical de technologie, les moteurs sont de même taille et ont une augmentation de poids d’environ 15 %., d'augmentation du rendement selon les puissance par rapport à la norme IE1, Anticipation des contraintes légales à venir. Gain sur la durée de vie du moteur.","[ 1.4766514   0.73013884  1.4325418  ...  0.88364124  0.8248451
 -1.357641  ]"
55,"Transmissions à haute efficacité, Transmission, Arrêt du moteur lors du changement La solution est peu rentable sur des moteurs usagés mais elle est à considérer lors de leur remplacement, de la consommation du sous système entrainé par le moteur, Optimisation du rendement du système moteur couplé à l'unité entrainée par le moteur.","[ 1.6913371   0.60672915  0.32353246 ...  0.06238449 -1.1015662
  0.4602473 ]"
