Solution_ID,Text,Embedding
2,"Installation frigorifique négative de type cascade utilisant du CO2, Centrale froid, Froid, Utilités","[ 1.5650488  -1.9883453  -0.4028725  ...  0.86886984 -1.7000755
  0.9720257 ]"
3,"Centrale négative en mode booster, Centrale froid, Froid, Utilités","[ 0.8010012  -2.3686848  -0.6936191  ... -0.36577547 -1.1703254
  0.20590532]"
4,"Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul, Ajustement production/besoin, Froid, Utilités","[ 2.6358697  -1.9302568  -1.049745   ...  0.46845782 -0.440259
  0.63775986]"
5,"Régulation non électronique sur un compresseur, Régulation, Froid, Utilités","[ 1.4716336  -1.2884252  -1.4273152  ... -0.30012953 -0.75472105
 -1.8153292 ]"
6,"Condenseur frigorifique à haute efficacité, Condenseur, Froid, Utilités","[ 2.8654788  -1.1904436   0.18112256 ...  0.37985125 -0.97177416
  0.40878662]"
7,"Condenseur surélevée pour garantir un bon échange thermique, Condenseur, Froid, Utilités","[ 3.276139   -1.7958225   1.3854642  ... -0.19654241 -1.0605631
 -0.21665217]"
8,"Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire., Centrale froid, Froid, Utilités","[ 1.8873286   0.48318088 -0.4253576  ...  0.63689905 -0.576366
 -0.79248744]"
9,"Zone neutre entre les températures de consignes chaude et froide, Gestion et pilotage, Froid, Utilités","[ 0.5069002  -1.032268   -1.5355865  ...  0.06639072 -1.4458724
 -0.29186782]"
10,"Séparation des productions de froid, Evaporateur, Froid, Utilités","[ 2.7260706  -1.3597579   0.09299485 ...  0.35085952 -1.7619826
 -0.63569045]"
11,"Diminution des entrées de chaleur dans les zones d'utilisation du froid, Chambre froide, Froid, Utilités","[ 0.7883161  -1.2937258  -0.8964627  ... -0.20434904 -1.3720025
  0.2328735 ]"
12,"Pré-refroidissement du produit, Gestion et pilotage, Froid, Utilités","[ 2.7900112  -1.0588754  -0.6233036  ... -0.61068296 -1.7223624
  0.06654924]"
13,"Meuble frigorifique de type vertical avec uniquement éclairage en fronton, Meuble frigorifique, Froid, Utilités","[ 2.019988   -0.5407163  -0.9797241  ...  0.20714615 -2.8329225
  0.08127774]"
14,"Rideaux de nuit sur meubles frigorifiques de type vertical à température positive, Meuble frigorifique, Froid, Utilités","[ 1.9416735  -0.31393686 -0.360242   ...  0.07394402 -2.7202759
 -0.15143535]"
15,"Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif, Meuble frigorifique, Froid, Utilités","[ 1.333236   -0.30300796 -0.7259106  ...  0.7953109  -1.9689614
  0.29743502]"
16,"Séparation du dégivrage d'un meuble frigorifique en plusieurs parties, Meuble frigorifique, Froid, Utilités","[ 2.203379    0.41408402 -0.07933688 ...  0.8902416  -2.604491
  0.27407724]"
17,"Stockage thermique, Stockage, Froid, Utilités","[ 3.0087433  -0.62709326 -2.3780596  ...  1.2147664  -1.4521402
 -0.05689216]"
18,"Free cooling par tour à vent, Climatisation, CVC, Bâtiment","[ 0.6769762  -1.7799153  -0.9765713  ...  0.43285403 -2.275808
 -0.5617987 ]"
19,"Free chilling d'un réseau d'eau glacée, Condenseur, Froid, Utilités","[ 2.144488   -3.1222434  -2.0591588  ...  1.1905307  -1.8739672
  0.95131636]"
20,"Rafraichissement solaire, Climatisation, CVC, Bâtiment","[ 0.4392462  -0.62409616  1.3148892  ... -0.27695763 -0.27515757
 -0.76109946]"
21,"Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire., Maintenance, Froid, Utilités","[ 2.1225345  -0.20678627 -0.9716342  ...  0.56203413 -1.8314294
  1.0944703 ]"
22,"Vérification et remplacement du calorifugeage des chambres froides, Chambre froide, Froid, Utilités","[ 0.42621788  0.0209353  -0.4864324  ...  0.92257875 -1.7710892
  0.14640562]"
23,"Diminution des distances de tuyauteries, Réseau, Froid, Utilités","[ 1.7390386  -0.8505413  -0.45551834 ...  0.40175095 -1.8972623
  0.13873531]"
24,"Programme de maintenance performant, Maintenance, Froid, Utilités",[ 0.8815988 -0.5420862 -1.6147858 ... -0.2636511 -0.5615988  0.5881712]
25,"Optimisation des dégivrages des évaporateurs, Evaporateur, Froid, Utilités",[ 2.6369452 -1.347573   0.6811135 ...  0.553052  -0.7823616 -0.597427 ]
26,"Ecart de température optimisé à l'évaporateur, Evaporateur, Froid, Utilités","[ 1.7493048  -2.1116314   1.9673535  ... -0.30781814 -0.9132565
 -1.0905632 ]"
27,"Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement, Maintenance, Froid, Utilités","[ 3.029161   -1.4804741  -0.02043638 ... -0.08544802 -1.5544667
 -0.02011244]"
28,"Ecart de température optimisé au condenseur, Condenseur, Froid, Utilités","[ 1.3222188  -1.9435339   1.3635045  ...  0.7406987  -1.1317079
 -0.06037705]"
29,"Nettoyage des condenseurs et autres échangeurs, Condenseur, Froid, Utilités","[ 3.4378767  -1.7782282   0.7339836  ...  1.3246204  -1.0487661
 -0.01325531]"
30,"Alimentation correcte en air du condenseur, Condenseur, Froid, Utilités","[ 2.1404035  -1.3985819  -0.01404501 ...  0.39979568 -1.5260972
  0.26700473]"
31,"Purge règulière des incondensables, Maintenance, Froid, Utilités","[ 2.1491005  -1.5667012  -0.6090871  ...  0.08656082 -0.4071815
  0.601098  ]"
32,"Réparation des fuites, tuyauteries, et changement des joints, Maintenance, Froid, Utilités","[ 2.721796   -0.3140465  -0.33051398 ...  1.0230367  -1.093124
 -0.17176361]"
33,"Ouverture des portes des zones froides minimisée, Chambre froide, Froid, Utilités","[-0.59178364 -1.6302706  -1.3686577  ...  0.5590471  -2.0141768
 -0.63581735]"
34,"Augmentation de la température d'évaporation, Régulation, Froid, Utilités","[ 1.7609879  -2.1999474   0.48224735 ... -0.5751139   0.19458815
  0.03896104]"
35,"Diminution de la température de condensation, Régulation, Froid, Utilités","[ 0.4152889  -1.9487709  -0.45721385 ... -1.2463293  -0.34153613
  0.48744974]"
36,"Diminution du taux d'air neuf en période de climatisation, Climatisation, CVC, Bâtiment","[-0.23080431 -1.1167802  -0.02574544 ... -0.2826947  -1.2894975
 -0.13220076]"
39,"Pilotage des compresseurs en cascade et compresseurs de puissances différentes, Régulation, Froid, Utilités","[ 2.3101892  -1.1466572  -1.0260034  ... -0.15603827 -0.6372342
 -0.36613056]"
40,"Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs, Evaporateur, Froid, Utilités","[ 2.6615865  -1.3138398   0.31574467 ... -0.300857   -0.99315596
 -0.8934993 ]"
41,"Mise en route graduelle des ventilateurs sur les aérocondenseurs, Condenseur, Froid, Utilités","[ 2.173568   -1.428289    0.3092126  ...  0.86370444 -0.423113
  0.44057807]"
