Solution_ID,Text,Embedding
2,"Centrale froid, Froid, Utilités, ","[ 1.4187065  -2.5335767  -2.2566025  ...  1.4279826  -0.68186665
  0.83358365]"
3,"Centrale froid, Froid, Utilités, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;","[ 2.1626625   0.00289831  0.04318191 ...  0.6756127  -0.35199267
  0.1964494 ]"
4,"Ajustement production/besoin, Froid, Utilités, ","[ 1.3416926  -1.2435435  -0.7332672  ...  0.9416822   0.6808089
  0.88102674]"
5,"Régulation, Froid, Utilités, sur la consommation annuelle totale d'électricité","[ 2.144201   -1.7635133   0.07579458 ...  0.59825295  0.68449354
  1.4529024 ]"
6,"Condenseur, Froid, Utilités, Investissement élevé, de la consommation électrique du condenseur","[ 2.5364792  -1.2336632   0.3178756  ...  1.1390152  -0.22288817
  1.98995   ]"
7,"Condenseur, Froid, Utilités, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée.","[ 2.7448611  -0.3557466   1.3222879  ...  1.33939     0.11652938
  0.02982834]"
8,"Centrale froid, Froid, Utilités, de la consommation électrique de la centrale frigorifique","[ 2.4930265  -1.6807934  -0.98276246 ...  0.88713765 -0.4206612
  1.0213119 ]"
9,"Gestion et pilotage, Froid, Utilités, ","[ 2.3206346  -1.85434    -1.4114239  ...  0.49757162 -0.1109967
 -0.15852718]"
10,"Evaporateur, Froid, Utilités, ","[ 2.712277   -2.1927395  -0.8496593  ...  0.08080693 -0.32620564
 -0.0468378 ]"
11,"Chambre froide, Froid, Utilités, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.","[ 0.97066236 -1.6666156  -0.77338237 ...  0.5740387  -1.6330332
  1.4960116 ]"
12,"Gestion et pilotage, Froid, Utilités, ","[ 2.3206346  -1.85434    -1.4114239  ...  0.49757162 -0.1109967
 -0.15852718]"
13,"Meuble frigorifique, Froid, Utilités, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires","[ 1.8434618  -0.08640198 -0.17186452 ...  0.43730646 -0.84365755
  0.44916457]"
14,"Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit","[ 2.4871385  -1.4723927  -1.2820709  ...  0.55797905 -0.7150507
  0.7357256 ]"
15,"Meuble frigorifique, Froid, Utilités, de la consommation électrique des centrales froid la nuit","[ 2.4871385  -1.4723927  -1.2820709  ...  0.55797905 -0.7150507
  0.7357256 ]"
16,"Meuble frigorifique, Froid, Utilités, ",[ 2.1504514 -1.6172769 -1.8167948 ...  0.9370501 -1.1639756  0.1983392]
17,"Stockage, Froid, Utilités, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)","[ 2.2496092  -1.1003668  -1.2153866  ... -0.05883776 -0.23917939
  0.9399153 ]"
18,"Climatisation, CVC, Bâtiment, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2.","[ 1.0794052  -0.41276732  1.1814065  ...  0.17342575 -0.63586974
 -0.2733065 ]"
19,"Condenseur, Froid, Utilités, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques.","[ 2.228859   -1.3482037   0.11401657 ...  0.00315748 -0.43720755
  0.78837764]"
